"","month","avg_mortgage_rate","avg_home_price","assumed_monthly_rent","monthly_mortgage_payment","monthly_fixed_expense","monthly_cost_of_owning","ownership_vs_renting_difference","ownership_vs_renting_status"
"137",May 1998,7.144,89374,595.826666666667,542.948198871706,126.613166666667,669.561365538373,-73.7346988717061,"Rent"
"138",Jun 1998,7.012,90195,601.3,540.71699160202,127.77625,668.49324160202,-67.1932416020202,"Rent"
"139",Jul 1998,6.95333333333333,90859,605.726666666667,541.478027162249,128.716916666667,670.194943828916,-64.4682771622489,"Rent"
"140",Aug 1998,6.932,91407,609.38,543.567930676351,129.49325,673.061180676351,-63.6811806763513,"Rent"
"141",Sep 1998,6.762,91752,611.68,536.250406479449,129.982,666.232406479449,-54.5524064794487,"Rent"
"142",Oct 1998,6.69833333333333,91999,613.326666666667,534.192823856429,130.331916666667,664.524740523096,-51.1980738564292,"Rent"
"143",Nov 1998,6.858,92197,614.646666666667,544.15957239894,130.612416666667,674.771989065606,-60.1253223989398,"Rent"
"144",Dec 1998,6.745,92443,616.286666666667,539.348693414565,130.960916666667,670.309610081232,-54.0229434145648,"Rent"
"145",Jan 1999,6.794,92714,618.093333333333,543.64987552457,131.344833333333,674.994708857904,-56.9013755245704,"Rent"
"146",Feb 1999,6.794,92981,619.873333333333,545.215491470005,131.723083333333,676.938574803339,-57.0652414700053,"Rent"
"147",Mar 1999,7.01,93611,624.073333333333,561.082620492372,132.615583333333,693.698203825705,-69.6248704923718,"Rent"
"148",Apr 1999,6.92666666666667,94436,629.573333333333,561.276857988736,133.784333333333,695.061191322069,-65.4878579887358,"Rent"
"149",May 1999,7.102,95360,635.733333333333,576.880454312858,135.093333333333,711.973787646191,-76.2404543128579,"Rent"
"150",Jun 1999,7.486,96363,642.42,605.574478086017,136.51425,742.088728086017,-99.668728086017,"Rent"
"151",Jul 1999,7.63166666666667,97192,647.946666666667,619.528217560418,137.688666666667,757.216884227085,-109.270217560418,"Rent"
"152",Aug 1999,7.894,97897,652.646666666667,640.001403777401,138.687416666667,778.688820444067,-126.042153777401,"Rent"
"153",Sep 1999,7.818,98399,655.993333333333,638.614706481668,139.398583333333,778.013289815001,-122.019956481668,"Rent"
"154",Oct 1999,7.852,98832,658.88,643.521088804015,140.012,783.533088804015,-124.653088804015,"Rent"
"155",Nov 1999,7.782,99149,660.993333333333,641.258389668101,140.461083333333,781.719473001435,-120.726139668101,"Rent"
"156",Dec 1999,7.885,99543,663.62,650.202187841858,141.01925,791.221437841858,-127.601437841858,"Rent"
"157",Jan 2000,8.18,1e+05,666.666666666667,671.716104177978,141.666666666667,813.382770844644,-146.716104177978,"Rent"
"158",Feb 2000,8.31,100571,670.473333333333,683.822401287239,142.475583333333,826.297984620572,-155.824651287239,"Rent"
"159",Mar 2000,8.25166666666667,101466,676.44,686.159155639179,143.7435,829.902655639179,-153.462655639178,"Rent"
"160",Apr 2000,8.168,102540,683.6,688.001117471697,145.265,833.266117471697,-149.666117471697,"Rent"
"161",May 2000,8.438,103702,691.346666666667,713.543836256474,146.911166666667,860.455002923141,-169.108336256474,"Rent"
"162",Jun 2000,8.34333333333333,104855,699.033333333333,715.168013266033,148.544583333333,863.712596599366,-164.679263266033,"Rent"
"163",Jul 2000,8.162,105721,704.806666666667,708.944102771654,149.771416666667,858.71551943832,-153.908852771654,"Rent"
"164",Aug 2000,8.048,106522,710.146666666667,706.669239875938,150.906166666667,857.575406542604,-147.428739875938,"Rent"
"165",Sep 2000,7.912,107135,714.233333333333,701.600660637091,151.774583333333,853.375243970424,-139.141910637091,"Rent"
